iter	Passed	Remaining
722	912	349
723	913	348
724	914	346
725	915	345
726	916	344
727	916	342
728	917	341
729	921	340
730	922	339
731	925	338
732	926	337
733	927	335
734	927	334
735	928	333
736	929	331
737	930	330
738	931	328
739	932	327
740	933	326
741	936	325
742	939	324
743	941	323
744	942	322
745	943	321
746	943	319
747	944	318
748	945	316
749	946	315
750	947	314
751	950	313
752	951	312
753	954	311
754	955	310
755	956	308
756	957	307
757	958	305
758	958	304
759	959	303
760	960	301
761	961	300
762	962	298
763	967	298
764	970	298
765	971	296
766	972	295
767	973	294
768	974	292
769	975	291
770	975	289
771	976	288
772	978	287
773	981	286
774	985	286
775	986	284
776	987	283
777	988	282
778	989	280
779	990	279
780	991	277
781	992	276
782	995	275
783	996	274
784	1000	273
785	1001	272
786	1002	271
787	1002	269
788	1003	268
789	1004	267
790	1005	265
791	1006	264
792	1009	263
793	1010	262
794	1013	261
795	1014	259
796	1014	258
797	1015	257
798	1016	255
799	1017	254
800	1018	252
801	1019	251
802	1019	250
803	1020	248
804	1022	247
805	1025	246
806	1026	245
807	1028	244
808	1029	243
809	1030	241
810	1031	240
811	1032	238
812	1033	237
813	1033	236
814	1034	234
815	1035	233
816	1039	232
817	1040	231
818	1042	230
819	1043	229
820	1044	227
821	1045	226
822	1046	225
823	1047	223
824	1047	222
825	1048	220
826	1049	219
827	1050	218
828	1052	217
829	1054	215
830	1056	214
831	1058	213
832	1059	212
833	1059	210
834	1060	209
835	1061	208
836	1062	206
837	1063	205
838	1063	204
839	1065	202
840	1068	202
841	1069	200
842	1072	199
843	1073	198
844	1074	197
845	1074	195
846	1075	194
847	1076	192
848	1077	191
849	1078	190
850	1078	188
851	1079	187
852	1083	186
853	1085	185
854	1087	184
855	1088	183
856	1089	181
857	1089	180
858	1090	179
859	1091	177
860	1092	176
861	1093	175
862	1094	173
863	1095	172
864	1098	171
865	1101	170
866	1102	169
867	1103	167
868	1104	166
869	1105	165
870	1106	163
871	1107	162
872	1107	161
873	1108	159
874	1109	158
875	1112	157
876	1114	156
877	1116	155
878	1117	153
879	1118	152
880	1118	151
881	1119	149
882	1120	148
883	1121	147
884	1122	145
885	1122	144
886	1123	143
887	1125	141
888	1127	140
889	1129	139
890	1131	138
891	1132	137
892	1133	135
893	1133	134
894	1134	133
895	1135	131
896	1136	130
897	1136	129
898	1137	127
899	1138	126
900	1141	125
901	1142	124
902	1144	122
903	1145	121
904	1146	120
905	1147	119
906	1148	117
907	1148	116
908	1149	115
909	1150	113
910	1151	112
911	1151	111
912	1152	109
913	1153	108
914	1155	107
915	1157	106
916	1158	104
917	1160	103
918	1161	102
919	1161	101
920	1162	99
921	1163	98
922	1164	97
923	1165	95
924	1165	94
925	1166	93
926	1167	91
927	1169	90
928	1171	89
929	1173	88
930	1174	87
931	1175	85
932	1176	84
933	1177	83
934	1178	81
935	1179	80
936	1179	79
937	1180	78
938	1181	76
939	1182	75
940	1183	74
941	1185	73
942	1186	71
943	1188	70
944	1190	69
945	1190	67
946	1191	66
947	1192	65
948	1193	64
949	1194	62
950	1194	61
951	1195	60
952	1196	59
953	1197	57
954	1199	56
955	1201	55
956	1202	54
957	1203	52
958	1204	51
959	1204	50
960	1205	48
961	1206	47
962	1207	46
963	1208	45
964	1208	43
965	1209	42
966	1210	41
967	1211	40
968	1212	38
969	1214	37
970	1215	36
971	1215	35
972	1216	33
973	1217	32
974	1218	31
975	1219	29
976	1220	28
977	1220	27
978	1221	26
979	1222	24
980	1223	23
981	1224	22
982	1224	21
983	1225	19
984	1226	18
985	1229	17
986	1230	16
987	1231	14
988	1232	13
989	1232	12
990	1233	11
991	1234	9
992	1235	8
993	1236	7
994	1237	6
995	1237	4
996	1238	3
997	1239	2
998	1240	1
999	1240	0
